Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
,,,,R9,0.811809673361,0.811855332106,4.56587451391e-05,,
,,,,P9,1.03333047765,1.03865298978,0.00532251212732,,
,,,,N9,1.14773808035,1.14803770078,0.000299620428026,,
,,,,M9,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,L9,1.18109146002,1.17212240779,-0.00896905223264,,
,,,,K9,1.07177067377,1.07678710921,0.00501643543876,,
,,,,J9,1.04538528162,1.05772004949,0.012334767873,,
,,,,H9,1.03692369164,1.05069534328,0.013771651642,,
,,,,G9,1.04538528162,1.05772004949,0.012334767873,,
,,,,F9,1.07177067377,1.07879416813,0.0070234943562,,
,,,,E9,1.18109146002,1.18015064346,-0.000940816562868,,
,,,,D9,1.0876007172,1.08280828596,-0.00479243123891,,
,,,,C9,1.14773808035,1.13800240619,-0.00973567415919,,
,,,,B9,1.03333047765,1.03263181302,-0.00069866462501,,
,,,,A9,0.811809673361,0.809848273189,-0.0019614001723,,
,,,,R10,0.738410180103,0.726555328115,-0.0118548519882,,
,,,,P10,1.0343232521,1.05169887274,0.0173756206407,,
,,,,N10,1.08546833111,1.06675181462,-0.0187165164885,,
,,,,M10,1.251633969,1.23634829315,-0.0152856758544,,
,,,,L10,1.06787603948,1.08882946271,0.0209534232334,,
,,,,K10,1.21137560246,1.21427064505,0.00289504259368,,
,,,,J10,1.07177067377,1.07879416813,0.0070234943562,,
,,,,H10,1.03052556396,1.05571299058,0.0251874266156,,
,,,,G10,1.07177067377,1.07678710921,0.00501643543876,,
,,,,F10,1.21137560246,1.21427064505,0.00289504259368,,
,,,,E10,1.06787603948,1.08983299217,0.0219569526921,,
,,,,D10,1.251633969,1.23534476369,-0.0162892053132,,
,,,,C10,1.08546833111,1.0647447557,-0.0207235754059,,
,,,,B10,1.0343232521,1.04969181382,0.0153685617233,,
,,,,A10,0.738410180103,0.725551798656,-0.012858381447,,
,,,,R11,0.534700259487,0.52584943637,-0.00885082311665,,
,,,,N11,1.2119720473,1.20222829155,-0.00974375575098,,
